,pt,fr,it,vi,ko,ar,es,ja,de,ru,zh,en,tr,Global
n_lang,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,169.0
n_text,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,614.0,7982.0
n_text_per_lang,47.0,33.0,23.0,79.0,69.0,20.0,40.0,48.0,51.0,48.0,37.0,52.0,67.0,614.0
mean_tokens_per_text,16.72340425531915,21.151515151515152,21.52173913043478,13.721518987341772,11.478260869565217,33.65,19.9,17.416666666666668,11.568627450980392,14.0625,23.83783783783784,20.76923076923077,13.059701492537313,238.86100261142906
n_text_under_100_tokens,30.0,15.0,12.0,61.0,67.0,8.0,22.0,47.0,41.0,31.0,33.0,28.0,50.0,445.0
ratio_text_under_100_tokens,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.95
